ENTITY_ID,ENTITY_LOCATION_ID,ENTITY_LOCATION_NAME,ENTITY_NAME,ENTITY_TYPE,REVIEW_BODY,REVIEW_DATE,REVIEW_RATING_FOOD,REVIEW_RATING_GLOBAL,REVIEW_RATING_SERVICE,REVIEW_RATING_VALUE,REVIEW_TITLE,USER_ID,USER_LOCATION,USER_NAME;
"d680501,g186338,London,""Oxo Tower Restaurant, Bar and Brasserie"",Restaurant,""Restaurant or brasserie? Restaurant (fine dining) will be circa £60 for food alone (3 courses), Brasserie circa £30. The fantastic view is the same so it depends on your reson for going...dinner for 2, group dinner, business etc. I tend to go for the brasserie for v.f.m.My tips: 1. visit the website: http://www.harveynichols.com/restaurants/oxo-tower-london2. Try and get a table close to the window for the best view (or on the terrace if the weather is good enough)."",Date of visit: October 2011,4,4,4,4,Fantastic view...good food...research before you book!,UID_e1,""London, United Kingdom"",anonymized1";
"d680501,g186338,London,""Oxo Tower Restaurant, Bar and Brasserie"",Restaurant,""You don't go to the Oxo Tower Brasserie for a quiet meal in relaxing surroundings. This is a restaurant with a buzz - open plan kitchen, lots of action, tables which are close together, high ceilings and not one thing in the place to deaden the noise and chatter. Despite all this we loved it. It makes a change sometimes to go somewhere where there is such an atmosphere and not eat in a restaurant where you feel you cannot talk above a whisper. The choice on the menu and the meals served were very good whilst the service was excellent - attentive, friendly and not rushed. The biggest plus however for this restaurant is the view of the Thames - fantastic (which probably reflects in the slightly high cost of the meal) but worth noting that not all the tables have a great view. However, we would be so happy to return again, especially in better weather where you could sit outside on the terrace."",Date of visit: October 2014,4,4,4,4,Very enjoyable lunch,UID_e6,uk,anonymized6";
"d680501,g186338,London,""Oxo Tower Restaurant, Bar and Brasserie"",Restaurant,""Had a quick lunch here and probably this is my 10th visit. Never tried the Brasserie yet but it looked very busy. The food was very good and the service good this time, has been patchy in the past to be fair.The views are superb if your a visitor to the city and its well worth being extra polite to the busy staff to ensure you get a good table."",Date of visit: May 2013,-1,4,-1,-1,Quick Service and Food Quality Very Good,UID_e2,""London, United Kingdom"",anonymized2";
"d680501,g186338,London,""Oxo Tower Restaurant, Bar and Brasserie"",Restaurant,""We visited The Oxo Tower Restaurant during March 2012 on a Saturday evening.The restaurant is very modern looking with dimmed blue lighting and fantastic views of London & the Thames. The service was swift and efficient without being rushed and the atmosphere was lively without any pretentiousness. The food was of a very high standard (although the prices do match this) and the wine list was substantial with bottles starting at around £30.Overall for three courses with 2x side dishes (two people), a bottle of £46 Red, two cocktails and a bottle of water came to £208We really liked the Oxo Tower and will almost certainly return sometime in the near future."",Date of visit: March 2012,5,4,4,3,""Great Views, Good Food and a lively atmosphere."",UID_e4,UK,anonymized4";
"d680501,g186338,London,""Oxo Tower Restaurant, Bar and Brasserie"",Restaurant,""Been around the block a few times this place. If I am honest I had never had a decent meal here previously, so I approached with much scepticism. Promising start with a good selection of local beers, including a Beavertown, mixed in with more traditional european offerings. Things took a slight turn for the worse as it took ages to get to our table, I would say a good hour. Anyway, worth waiting, as we got a great table near the window. Much have been inspired by the view as I went for fish and fish. Started with the squid, which was slightly overcooked and not quite crispy. May seem odd but this is how it turned up. Well seasoned and fresh aioli though and plenty of fish added together to make a decent dish. For the main I had the scallops, which again were plentiful, with fantastic flavours and perfectly cooked. Had a really decent bottle of Chablis to wash it down with. Didn't get round to dessert, which I think was a combination of the time, knocking on for 4 by the time we had finished, and the size of the portions. Service was perfectly attentive but unintrusive throughout. Would go back again, which I have never said on any of my other visits."",Date of visit: March 2015,4,4,5,3,Golden Oldie,UID_e3,""Elstree, United Kingdom"",anonymized3";
"d680501,g186338,London,""Oxo Tower Restaurant, Bar and Brasserie"",Restaurant,""If the weather is good, make sure you ask for a table outside. We ate in the summer when the sun was setting over London. Really was amazing."",Date of visit: July 2012,-1,4,-1,-1,Table with a view,UID_e5,""London, United Kingdom"",anonymized5";
"d731402,g186338,London,The Wolseley,Restaurant,""Been many times, with my wife, with friends, with Clients. Beautiful room, quality food with good service. The room can be noisy so a quiet romantic dinner for 2 may not be the best idea. If you can't beat them then join them...go with enough of you notto notice the noise."",Date of visit: December 2010,5,5,5,-1,""great for breakfast, lunch or dinner"",UID_e1,""London, United Kingdom"",anonymized1";
"d731402,g186338,London,The Wolseley,Restaurant,""This restaurant is an institution. Set in a wonderful building with a high ceiling & lots of tables it is usually full from 0700 until late at night! We just turned up for breakfast and were lucky to get a table, it was full to capacity. The breakfast menu has everything you could possibly want to eat. The quality of the ingredients were excellent and everything was beautifully cooked. We enjoyed it so much we went back for lunch the following day. The menu mainly features British dishes but it has some unusual additions as well. This is not fine dining but our meal was very good and the service was excellent, prompt, attentive and polite. It is not that expensive, for London, but it does add up when you add a few extras. If you are looking for somewhere to eat with a great atmosphere and lots of hustle and bustle then this is a restaurant you should visit. Best to book. We shall return on our next visit to London."",Date of visit: February 2015,4,4,5,4,Ate breakfast & then lunch the following day,UID_e6,uk,anonymized6";
"d731402,g186338,London,The Wolseley,Restaurant,""From the doormen to all the staff they know their job backwards and a very well run room indeed which is busy morning, noon and night. I always dine here now pre-theatre and never have we felt rushed and the portions are excellent. For value for money, it is excellent and you must go !"",Date of visit: July 2014,-1,5,-1,-1,Best Restaurant in London for a quick meal !,UID_e2,""London, United Kingdom"",anonymized2";
"d731402,g186338,London,The Wolseley,Restaurant,""The Wolseley is like an institute in London, like a fine wine it matures with age. The location is right next door to the Ritz Hotel on Piccadilly and the dining room is large with high celiings and period features. We have visited the restaurant quite a few times now and it has never let us down.Firstly the dress code is somewhat different to other restaurants. Some diners will be in suits and cocktail dresses, others will be dressed Smart casual whilst the end of the day shoppers are wearing their casual everyday clothes. However nobody looks out of place here, you can really wear what you want in this restaurant. This is what makes the restaurant unique in my opinion, if the Wolseley was to be awarded a Michelin this would ruin the whole ambience of the place.Service is always elegant without being pretentious";" the atmosphere is always lively with a lovely buzz humming around the place. There if a general feeling of friendliness and I can’t quite put my finger on it’s origin. On our last visit we had a crayfish & lobster starter, which was fantastic, the eggs benedict was the best that I had ever had and the steak dishes were better than a lot of the steakhouse offerings.In all we had 2x starters, 2 mains, 1 side, 1 dessert, 2 glasses of wine and bottled water. In total and with service charge the bill came to £117, which is very reasonable for London standards in such a location. The bill also had a £2 cover charge per person – I really don’t understand what this is actually for when no music is being played!Anyway a great restaurant and one that we will re-visit time and time again no doubt."",Date of visit: June 2013,5,5,5,5,A safe bet and always good,UID_e4,UK,anonymized4"
